Sentence	True_label	Pred_label	Score	Correct
小人嘴里最容易放屁。	恶	恶	0.9729284	1
战争打破了这个国家的宁静	怒	哀	0.31771266	0
我几乎牺牲了原本可以用来阅读的课后时光。	哀	好	0.95494443	0
小小的失意，像花生米翻落地了	哀	哀	0.98064435	1
黄海是一座美丽的天然宝库。	好	好	0.9987233	1
如何选择和设计社会保障体系的目标模式	恶	好	0.9616383	0
总理严于解剖自己	好	怒	0.3200552	0
他在两种意见之间摇摆不定	恶	恶	0.98942906	1
作为律师我要主持正义	好	好	0.9917035	1
我们从工作中积累点点滴滴的经验	好	好	0.99702007	1
我作为有志青年怎么能一辈子蹲在这种地方	哀	好	0.82224905	0
明镜般的湖面在山谷之间。	好	好	0.99770504	1
爱情是心中的暴君	怒	好	0.97853893	0
１９９５年９月他们应邀赴台湾演出，小演员们规范熟悉的技艺，又征服了台湾同胞。	好	好	0.92202586	1
导致“人情电”、“关系电”、“权势电”问题泛滥。	恶	好	0.83294475	0
老战士们热血奔流的心间，波涛涌动。	乐	好	0.91065925	0
这场交易眼看要泡汤。	惧	恶	0.5023268	0
这首诗不过是风花雪月罢了。	恶	好	0.95338297	0
一寸光阴一寸金，寸金难买寸光阴。	好	哀	0.96082187	0
从幽深阴暗的地方倾泻出银铃一般的和声	好	惧	0.7546161	0
螳螂十分得小，有着一双强劲有力的波纹形爪子和一双长刺的脚，就像一个迷你版的刺客	好	好	0.46528855	1
竞选对手通过传播媒介攻击对方的私生活	恶	恶	0.71647227	1
强烈的历史感，是１９９７年主题性创作的精神支柱，它所支撑的是艺术家对历史事件的再现、对历史人物的剖析、对历史真实的追寻。	好	好	0.9958866	1
他替我求出答案了	怒	恶	0.56281763	0
爱是生命之光	好	好	0.9985226	1
他经历过无数风雨。	好	哀	0.84106094	0
萤烛之火，也敢于日月争辉？	恶	怒	0.39579833	0
小鸟在唱歌	乐	好	0.95703304	0
大地母亲，我永远爱您	好	好	0.9854382	1
经过一个假期的沉淀，他蜕化成一名知识的学者	惊	好	0.99734277	0
我时常驻足她的身旁，想读懂她的昨天、今天和明天。	乐	好	0.9591525	0
鼓励企业通过经营领域的不断扩大，提高自我消化的能力。	好	好	0.93745846	1
你给我想象不到的快乐就像绿洲给了沙漠。	好	好	0.9852298	1
你当主任的还在这泡时间	恶	恶	0.9856839	1
灯光开始像星星一样闪烁起来	好	乐	0.9643819	0
恐怖分子是魔鬼	恶	惧	0.9518276	0
病魔夺去了他年轻的生命。	哀	哀	0.3383281	1
反垄断法与其说是限制大企业财团的自由，不如说是把权限最大限度地收归政府。	恶	恶	0.99880254	1
浙江率先消灭贫困县。	好	好	0.78134423	1
现实至多为失败者提供了解脱的借口，而对宿命的信仰最终无情地扑灭了成功的任何希望。	哀	好	0.9923454	0
棕灰色的圆柱顶端，安息着一片白云	乐	好	0.8298103	0
勇敢的灵魂 。	乐	哀	0.6654919	0
卡里昂老头子无法清除五六个强大的“家族”	恶	恶	0.9929255	1
他蜿蜒地挤过人群	恶	好	0.44557288	0
枪毙一切形式主义的官样文章	好	怒	0.3749378	0
此刻，他是战场上的死神。	惧	惧	0.9784918	1
当经济的泡沫破灭时，很多人将失业。	哀	哀	0.64908314	1
鸿渐已经羞愤得脸红了，夹耳根、连脖子、经背脊红下去直到脚跟	惧	怒	0.50184876	0
这篇文章用偷梁换柱的办法颠倒了历史	怒	好	0.885806	0
阳光下盛开的水仙花就是您的笑容。	好	乐	0.7175923	0
她本来就是一朵青莲	好	好	0.9995889	1
理想张开翅膀起飞	好	乐	0.90910697	0
他不得不在一家地狱般的工厂干活。	恶	恶	0.97291064	1
环洞桥似的一架红木百宝橱，跨立在这又长又阔的大餐室的中部	好	好	0.99135476	1
给这个项目插上科技的翅膀。	好	恶	0.5737727	0
《人民的名义》中男士的类型让“中年熟男风”刮了一整年。	好	好	0.99927574	1
我们在采油方面闯出了自己的路子	乐	好	0.97486055	0
用她的热烈，她的优雅，感染着众生	好	乐	0.52529293	0
他像老虎一般凶猛。	恶	恶	0.76954836	1
作为朋友他居然玩儿起了花招	怒	恶	0.9601032	0
这篇文章很难吃透	恶	怒	0.6234428	0
这个88%巧克力苦的像中药一样	恶	好	0.9378729	0
一系列改善和加强金融服务的措施相继推出	好	好	0.9862542	1
那个时候我们畅想的未来，像是放在真空玻璃房里的绚丽玫瑰，上面闪烁着晶莹的露珠。	乐	好	0.95237213	0
贫穷可以消磨一个人所有的棱角，粉碎一切坚强	哀	好	0.99726737	0
想要看你暗中在对谁放电	好	好	0.9910398	1
现在的渐进主义就是一剂强效的镇静剂。	好	好	0.9993055	1
他有颗钢铁般坚强的心。	好	好	0.871805	1
警察攻坚审讯这名嫌犯	好	恶	0.88428026	0
我们曾经是祖国的花朵 	哀	好	0.9927187	0
九月，原来只是活在记忆远方的一首离歌，就如雨滴敲打在所有人的心头	乐	哀	0.9199424	0
这首歌仿佛能够荡涤人的心灵	好	好	0.94456446	1
他像过街的老鼠一样。	恶	恶	0.9987871	1
走上沙滩，我们沐浴在阳光之下。	乐	乐	0.9505871	1
这架飞机形同大雁。	好	好	0.983263	1
王莉莉是一只百灵鸟。	好	恶	0.93277264	0
方鸿渐自信对她的情谊到此而止，好比两条平行的直线，无论彼此距离怎么近，拉得怎么长，终合不拢	哀	哀	0.513478	1
任何企图制造“两个中国”、“一中一台”、“台湾独立”的图谋，都注定要失败。	恶	好	0.98019505	0
生命是一朵千瓣莲花，我拒绝了绽放的同时，我也拒绝了枯萎和零落	好	好	0.75176585	1
就像他或许不在乎或者从没注意到我的眼神总是在他的泳衣上游移，想要弄明白究竟是什么使我们成为荒漠里的兄弟。	恶	好	0.70588744	0
新月是只香蕉，满月是块大饼。	乐	好	0.977702	0
他比我算计得仔细	乐	恶	0.9978861	0
她就像一只仙鹤一样美丽	好	好	0.9953928	1
一本好的书就像一个好朋友。	好	好	0.99409467	1
风亲切地抚摸着海的绸缎似的胸膛。	乐	好	0.8712834	0
他精辟的分析，竟然震撼了卡尔逊的心灵。	惊	好	0.96035624	0
文明礼貌是沟通感情的桥梁	好	好	0.99838305	1
大白杨在风中翩翩起舞	乐	好	0.91446203	0
他诚心当所有人面整服务员	恶	恶	0.8402531	1
落日亲吻着海平面	乐	好	0.99238414	0
他的脸黑的像块炭。	恶	惊	0.35328564	0
丽莎是一只老虎	惧	恶	0.9511052	0
总有一天，你会明白，你的委屈要自己消化。	哀	好	0.99411905	0
他的情绪爆炸了	怒	哀	0.9671053	0
她给自己的心像一扇上了锁的门	哀	恶	0.9665101	0
通水那天，山村沸腾了。	乐	乐	0.99835324	1
在这洒满阳光的大地上	乐	好	0.70288897	0
一声响亮的喷嚏，摇落天边的晚霞	乐	乐	0.96318614	1
离愁别恨是心的溃疡	哀	哀	0.99813014	1
老师辛勤浇灌着祖国的花朵。	好	好	0.9977004	1
创始CEO被逼下台	恶	哀	0.6270676	0
大学生为国家的发展注射了新的动力。	好	好	0.9988127	1
她靠一种非凡的精神承受了这一连串的打击	惊	好	0.9322763	0
低幼文学呼唤成熟艺术形象 。	哀	好	0.99476236	0
倾斜坍塌的穹顶是你汹涌起的哭泣。	哀	哀	0.9524316	1
他不想成为这次改革的小白鼠	惧	恶	0.9808897	0
这小子到处栽赃	恶	怒	0.57168424	0
只有顺其自然，才能驾驭自然。	好	好	0.9153415	1
她的歌声被观众的掌声和欢呼声淹没	好	乐	0.62074256	0
高尔基塑造了海燕的形象，欢呼革命风暴	好	好	0.952943	1
船在如山高的大浪中消失了	惧	哀	0.9412906	0
他肚子里有墨水。	好	恶	0.98949105	0
他们是两座灼热的火炉	好	恶	0.567882	0
海洋是世界上最丰富的原料宝库	好	好	0.93225163	1
科技推动着人类的社会发展。	好	好	0.9980515	1
